length,dot_count,dash_count,has_https,has_digits,has_at_symbol,is_shortener,keyword_hits,path_length,label
18,1,0,1,0,0,0,0,1,0
24,1,0,1,0,0,0,1,6,0
21,2,1,1,0,0,0,0,10,0
27,1,0,1,0,0,0,0,8,0
32,2,0,1,0,0,0,1,12,0
19,1,0,1,0,0,0,0,0,0
29,2,1,1,0,0,0,1,7,0
23,1,0,1,0,0,0,0,5,0
31,2,0,1,0,0,0,1,11,0
26,1,1,1,0,0,0,0,9,0
44,3,2,0,1,0,0,2,18,1
51,4,3,0,1,0,0,3,24,1
39,3,1,0,0,0,0,2,17,1
58,4,4,0,1,0,0,3,20,1
47,3,2,0,1,1,0,2,15,1
36,2,2,0,0,0,1,1,14,1
63,5,4,0,1,0,0,4,28,1
41,3,1,0,1,0,0,2,13,1
54,4,3,0,1,0,0,3,21,1
49,3,2,0,0,1,0,2,16,1
33,2,1,1,1,0,0,2,9,1
37,2,2,1,1,0,0,2,10,1
45,3,2,1,1,0,0,3,14,1
28,2,0,1,0,0,0,0,6,0
34,2,1,1,0,0,0,1,10,0
42,3,2,1,0,0,0,1,13,0
56,4,3,0,1,0,1,2,22,1
52,4,1,1,1,0,0,2,19,1
20,1,0,1,0,0,0,0,2,0
25,1,0,1,0,0,0,0,6,0
